question,answer
Türk müsün? Yardımcı olur musun?,Ben bir yapay zekayım ama Türkçe konuşabiliyorum.
Sence Türk müsün?,Ben bir yapay zekayım ama Türkçe konuşabiliyorum.
Sana göre Türk müsün? Yardımcı olur musun?,Ben bir yapay zekayım ama Türkçe konuşabiliyorum.
Acaba Seninle oyun oynayabilir miyim? Bir önerin var mı?,Tabii! Hangi oyunu oynamak istersin?
Sana göre Seninle oyun oynayabilir miyim? Bir önerin var mı?,Tabii! Hangi oyunu oynamak istersin?
Sana göre Seninle oyun oynayabilir miyim? Yardımcı olur musun?,Tabii! Hangi oyunu oynamak istersin?
"Merak ediyorum, Seninle oyun oynayabilir miyim? Ne düşünüyorsun?",Tabii! Hangi oyunu oynamak istersin?
Sence Seninle oyun oynayabilir miyim? Tavsiyen nedir?,Tabii! Hangi oyunu oynamak istersin?
Acaba Seninle oyun oynayabilir miyim? Lütfen.,Tabii! Hangi oyunu oynamak istersin?
Acaba Seninle oyun oynayabilir miyim? Yardımcı olur musun?,Tabii! Hangi oyunu oynamak istersin?
Seninle oyun oynayabilir miyim? Tavsiyen nedir?,Tabii! Hangi oyunu oynamak istersin?
Sence Seninle oyun oynayabilir miyim? Sen ne dersin?,Tabii! Hangi oyunu oynamak istersin?
Seninle oyun oynayabilir miyim? Yardımcı olur musun?,Tabii! Hangi oyunu oynamak istersin?
"Merak ediyorum, Şaka yapar mısın?",Tabii! İşte bir şaka: Neden bilgisayar soğuk? Çünkü Windows açık!
Şaka yapar mısın? Lütfen.,Tabii! İşte bir şaka: Neden bilgisayar soğuk? Çünkü Windows açık!
"Merak ediyorum, Şaka yapar mısın? Ne düşünüyorsun?",Tabii! İşte bir şaka: Neden bilgisayar soğuk? Çünkü Windows açık!
Şaka yapar mısın? Bir önerin var mı?,Tabii! İşte bir şaka: Neden bilgisayar soğuk? Çünkü Windows açık!
Sana göre Şaka yapar mısın? Bir önerin var mı?,Tabii! İşte bir şaka: Neden bilgisayar soğuk? Çünkü Windows açık!
Şaka yapar mısın? Tavsiyen nedir?,Tabii! İşte bir şaka: Neden bilgisayar soğuk? Çünkü Windows açık!
Şaka yapar mısın? Cevabın nedir?,Tabii! İşte bir şaka: Neden bilgisayar soğuk? Çünkü Windows açık!
Sana göre Şaka yapar mısın? Cevabın nedir?,Tabii! İşte bir şaka: Neden bilgisayar soğuk? Çünkü Windows açık!
Sana göre Şaka yapar mısın? Ne düşünüyorsun?,Tabii! İşte bir şaka: Neden bilgisayar soğuk? Çünkü Windows açık!
Sence Bilim kurgu filmi önerir misin? Yardımcı olur musun?,"Elbette! 'Interstellar', 'The Matrix' ve 'Inception' harika tercihler."
Bilim kurgu filmi önerir misin? Yardımcı olur musun?,"Elbette! 'Interstellar', 'The Matrix' ve 'Inception' harika tercihler."
"Merak ediyorum, Bilim kurgu filmi önerir misin? Cevabın nedir?","Elbette! 'Interstellar', 'The Matrix' ve 'Inception' harika tercihler."
Sence Bilim kurgu filmi önerir misin?,"Elbette! 'Interstellar', 'The Matrix' ve 'Inception' harika tercihler."
"Merak ediyorum, Bilim kurgu filmi önerir misin? Ne düşünüyorsun?","Elbette! 'Interstellar', 'The Matrix' ve 'Inception' harika tercihler."
Sence Bilim kurgu filmi önerir misin? Cevabın nedir?,"Elbette! 'Interstellar', 'The Matrix' ve 'Inception' harika tercihler."
Sana göre Bilim kurgu filmi önerir misin? Sen ne dersin?,"Elbette! 'Interstellar', 'The Matrix' ve 'Inception' harika tercihler."
Acaba Bilim kurgu filmi önerir misin? Cevabın nedir?,"Elbette! 'Interstellar', 'The Matrix' ve 'Inception' harika tercihler."
Sana göre Bilim kurgu filmi önerir misin? Bir önerin var mı?,"Elbette! 'Interstellar', 'The Matrix' ve 'Inception' harika tercihler."
Sana göre Bilim kurgu filmi önerir misin? Tavsiyen nedir?,"Elbette! 'Interstellar', 'The Matrix' ve 'Inception' harika tercihler."
Sence Bilim kurgu filmi önerir misin? Sen ne dersin?,"Elbette! 'Interstellar', 'The Matrix' ve 'Inception' harika tercihler."
Acaba Bilim kurgu filmi önerir misin? Ne düşünüyorsun?,"Elbette! 'Interstellar', 'The Matrix' ve 'Inception' harika tercihler."
Sana göre Bilim kurgu filmi önerir misin? Ne düşünüyorsun?,"Elbette! 'Interstellar', 'The Matrix' ve 'Inception' harika tercihler."
Sana göre Bilim kurgu filmi önerir misin? Cevabın nedir?,"Elbette! 'Interstellar', 'The Matrix' ve 'Inception' harika tercihler."
Sana göre Bilim kurgu filmi önerir misin? Yardımcı olur musun?,"Elbette! 'Interstellar', 'The Matrix' ve 'Inception' harika tercihler."
Acaba Bilim kurgu filmi önerir misin? Tavsiyen nedir?,"Elbette! 'Interstellar', 'The Matrix' ve 'Inception' harika tercihler."
"Merak ediyorum, Bilim kurgu filmi önerir misin?","Elbette! 'Interstellar', 'The Matrix' ve 'Inception' harika tercihler."
Sence Romantik film önerir misin? Yardımcı olur musun?,"Kesinlikle! 'Aşk Tesadüfleri Sever', 'Not Defteri' gibi filmler hoşuna gidebilir."
Sana göre Romantik film önerir misin? Ne düşünüyorsun?,"Kesinlikle! 'Aşk Tesadüfleri Sever', 'Not Defteri' gibi filmler hoşuna gidebilir."
Sana göre Romantik film önerir misin?,"Kesinlikle! 'Aşk Tesadüfleri Sever', 'Not Defteri' gibi filmler hoşuna gidebilir."
Sana göre Romantik film önerir misin? Cevabın nedir?,"Kesinlikle! 'Aşk Tesadüfleri Sever', 'Not Defteri' gibi filmler hoşuna gidebilir."
Sence Romantik film önerir misin? Bir önerin var mı?,"Kesinlikle! 'Aşk Tesadüfleri Sever', 'Not Defteri' gibi filmler hoşuna gidebilir."
"Merak ediyorum, Romantik film önerir misin? Yardımcı olur musun?","Kesinlikle! 'Aşk Tesadüfleri Sever', 'Not Defteri' gibi filmler hoşuna gidebilir."
"Merak ediyorum, Romantik film önerir misin? Tavsiyen nedir?","Kesinlikle! 'Aşk Tesadüfleri Sever', 'Not Defteri' gibi filmler hoşuna gidebilir."
Sence Romantik film önerir misin? Cevabın nedir?,"Kesinlikle! 'Aşk Tesadüfleri Sever', 'Not Defteri' gibi filmler hoşuna gidebilir."
Sence Romantik film önerir misin? Tavsiyen nedir?,"Kesinlikle! 'Aşk Tesadüfleri Sever', 'Not Defteri' gibi filmler hoşuna gidebilir."
Sana göre Romantik film önerir misin? Tavsiyen nedir?,"Kesinlikle! 'Aşk Tesadüfleri Sever', 'Not Defteri' gibi filmler hoşuna gidebilir."
Acaba Romantik film önerir misin? Lütfen.,"Kesinlikle! 'Aşk Tesadüfleri Sever', 'Not Defteri' gibi filmler hoşuna gidebilir."
Sence Romantik film önerir misin? Lütfen.,"Kesinlikle! 'Aşk Tesadüfleri Sever', 'Not Defteri' gibi filmler hoşuna gidebilir."
Sence Romantik film önerir misin? Ne düşünüyorsun?,"Kesinlikle! 'Aşk Tesadüfleri Sever', 'Not Defteri' gibi filmler hoşuna gidebilir."
Romantik film önerir misin? Sen ne dersin?,"Kesinlikle! 'Aşk Tesadüfleri Sever', 'Not Defteri' gibi filmler hoşuna gidebilir."
"Merak ediyorum, Romantik film önerir misin? Lütfen.","Kesinlikle! 'Aşk Tesadüfleri Sever', 'Not Defteri' gibi filmler hoşuna gidebilir."
Sence Romantik film önerir misin?,"Kesinlikle! 'Aşk Tesadüfleri Sever', 'Not Defteri' gibi filmler hoşuna gidebilir."
Sence Komedi filmi istiyorum Yardımcı olur musun?,"Seni güldürecek filmler: 'Recep İvedik', 'Hangover', 'Zombieland'."
Sana göre Komedi filmi istiyorum Yardımcı olur musun?,"Seni güldürecek filmler: 'Recep İvedik', 'Hangover', 'Zombieland'."
Acaba Komedi filmi istiyorum Cevabın nedir?,"Seni güldürecek filmler: 'Recep İvedik', 'Hangover', 'Zombieland'."
Komedi filmi istiyorum Bir önerin var mı?,"Seni güldürecek filmler: 'Recep İvedik', 'Hangover', 'Zombieland'."
Sana göre Komedi filmi istiyorum Cevabın nedir?,"Seni güldürecek filmler: 'Recep İvedik', 'Hangover', 'Zombieland'."
Acaba Komedi filmi istiyorum Bir önerin var mı?,"Seni güldürecek filmler: 'Recep İvedik', 'Hangover', 'Zombieland'."
Acaba Komedi filmi istiyorum Sen ne dersin?,"Seni güldürecek filmler: 'Recep İvedik', 'Hangover', 'Zombieland'."
Acaba Komedi filmi istiyorum Yardımcı olur musun?,"Seni güldürecek filmler: 'Recep İvedik', 'Hangover', 'Zombieland'."
Acaba Komedi filmi istiyorum,"Seni güldürecek filmler: 'Recep İvedik', 'Hangover', 'Zombieland'."
"Merak ediyorum, Komedi filmi istiyorum Tavsiyen nedir?","Seni güldürecek filmler: 'Recep İvedik', 'Hangover', 'Zombieland'."
Komedi filmi istiyorum Yardımcı olur musun?,"Seni güldürecek filmler: 'Recep İvedik', 'Hangover', 'Zombieland'."
Sana göre Komedi filmi istiyorum Sen ne dersin?,"Seni güldürecek filmler: 'Recep İvedik', 'Hangover', 'Zombieland'."
Komedi filmi istiyorum Tavsiyen nedir?,"Seni güldürecek filmler: 'Recep İvedik', 'Hangover', 'Zombieland'."
Acaba Komedi filmi istiyorum Ne düşünüyorsun?,"Seni güldürecek filmler: 'Recep İvedik', 'Hangover', 'Zombieland'."
"Merak ediyorum, Komedi filmi istiyorum Cevabın nedir?","Seni güldürecek filmler: 'Recep İvedik', 'Hangover', 'Zombieland'."
"Merak ediyorum, Komedi filmi istiyorum Bir önerin var mı?","Seni güldürecek filmler: 'Recep İvedik', 'Hangover', 'Zombieland'."
"Merak ediyorum, Komedi filmi istiyorum Ne düşünüyorsun?","Seni güldürecek filmler: 'Recep İvedik', 'Hangover', 'Zombieland'."
"Merak ediyorum, Yeni çıkan filmler neler? Bir önerin var mı?",2025’in en yeni filmleri arasında 'Görevimiz Tehlike 8' ve 'Dune: Part Two' var.
Sence Yeni çıkan filmler neler? Yardımcı olur musun?,2025’in en yeni filmleri arasında 'Görevimiz Tehlike 8' ve 'Dune: Part Two' var.
Sence Yeni çıkan filmler neler? Lütfen.,2025’in en yeni filmleri arasında 'Görevimiz Tehlike 8' ve 'Dune: Part Two' var.
Acaba Yeni çıkan filmler neler? Lütfen.,2025’in en yeni filmleri arasında 'Görevimiz Tehlike 8' ve 'Dune: Part Two' var.
"Merak ediyorum, Yeni çıkan filmler neler?",2025’in en yeni filmleri arasında 'Görevimiz Tehlike 8' ve 'Dune: Part Two' var.
Sana göre Yeni çıkan filmler neler?,2025’in en yeni filmleri arasında 'Görevimiz Tehlike 8' ve 'Dune: Part Two' var.
Sence Yeni çıkan filmler neler? Bir önerin var mı?,2025’in en yeni filmleri arasında 'Görevimiz Tehlike 8' ve 'Dune: Part Two' var.
Sence Yeni çıkan filmler neler?,2025’in en yeni filmleri arasında 'Görevimiz Tehlike 8' ve 'Dune: Part Two' var.
Acaba Yeni çıkan filmler neler? Tavsiyen nedir?,2025’in en yeni filmleri arasında 'Görevimiz Tehlike 8' ve 'Dune: Part Two' var.
Sana göre Yeni çıkan filmler neler? Lütfen.,2025’in en yeni filmleri arasında 'Görevimiz Tehlike 8' ve 'Dune: Part Two' var.
Sana göre Yeni çıkan filmler neler? Tavsiyen nedir?,2025’in en yeni filmleri arasında 'Görevimiz Tehlike 8' ve 'Dune: Part Two' var.
Acaba Yeni çıkan filmler neler? Yardımcı olur musun?,2025’in en yeni filmleri arasında 'Görevimiz Tehlike 8' ve 'Dune: Part Two' var.
"Merak ediyorum, Yeni çıkan filmler neler? Lütfen.",2025’in en yeni filmleri arasında 'Görevimiz Tehlike 8' ve 'Dune: Part Two' var.
Korku filmi öner Lütfen.,"Gerilim dolu bir gece için: 'The Conjuring', 'Insidious', 'Siccin'."
Korku filmi öner Cevabın nedir?,"Gerilim dolu bir gece için: 'The Conjuring', 'Insidious', 'Siccin'."
Acaba Korku filmi öner,"Gerilim dolu bir gece için: 'The Conjuring', 'Insidious', 'Siccin'."
Korku filmi öner Yardımcı olur musun?,"Gerilim dolu bir gece için: 'The Conjuring', 'Insidious', 'Siccin'."
Sana göre Korku filmi öner Tavsiyen nedir?,"Gerilim dolu bir gece için: 'The Conjuring', 'Insidious', 'Siccin'."
Acaba Korku filmi öner Bir önerin var mı?,"Gerilim dolu bir gece için: 'The Conjuring', 'Insidious', 'Siccin'."
Sana göre Korku filmi öner Yardımcı olur musun?,"Gerilim dolu bir gece için: 'The Conjuring', 'Insidious', 'Siccin'."
"Merak ediyorum, Korku filmi öner Tavsiyen nedir?","Gerilim dolu bir gece için: 'The Conjuring', 'Insidious', 'Siccin'."
Korku filmi öner Sen ne dersin?,"Gerilim dolu bir gece için: 'The Conjuring', 'Insidious', 'Siccin'."
Korku filmi öner Tavsiyen nedir?,"Gerilim dolu bir gece için: 'The Conjuring', 'Insidious', 'Siccin'."
Acaba Korku filmi öner Tavsiyen nedir?,"Gerilim dolu bir gece için: 'The Conjuring', 'Insidious', 'Siccin'."
"Merak ediyorum, Korku filmi öner Bir önerin var mı?","Gerilim dolu bir gece için: 'The Conjuring', 'Insidious', 'Siccin'."
Sana göre Korku filmi öner Lütfen.,"Gerilim dolu bir gece için: 'The Conjuring', 'Insidious', 'Siccin'."
Acaba Korku filmi öner Ne düşünüyorsun?,"Gerilim dolu bir gece için: 'The Conjuring', 'Insidious', 'Siccin'."
Sence Dram filmi tavsiye et Ne düşünüyorsun?,"Derin hikayeler için: 'Babam ve Oğlum', 'The Pursuit of Happyness'."
"Merak ediyorum, Dram filmi tavsiye et Bir önerin var mı?","Derin hikayeler için: 'Babam ve Oğlum', 'The Pursuit of Happyness'."
Acaba Dram filmi tavsiye et Yardımcı olur musun?,"Derin hikayeler için: 'Babam ve Oğlum', 'The Pursuit of Happyness'."
Dram filmi tavsiye et Lütfen.,"Derin hikayeler için: 'Babam ve Oğlum', 'The Pursuit of Happyness'."
Sana göre Dram filmi tavsiye et,"Derin hikayeler için: 'Babam ve Oğlum', 'The Pursuit of Happyness'."
Acaba Dram filmi tavsiye et Bir önerin var mı?,"Derin hikayeler için: 'Babam ve Oğlum', 'The Pursuit of Happyness'."
Sence Dram filmi tavsiye et Bir önerin var mı?,"Derin hikayeler için: 'Babam ve Oğlum', 'The Pursuit of Happyness'."
"Merak ediyorum, Dram filmi tavsiye et Cevabın nedir?","Derin hikayeler için: 'Babam ve Oğlum', 'The Pursuit of Happyness'."
Sana göre Dram filmi tavsiye et Bir önerin var mı?,"Derin hikayeler için: 'Babam ve Oğlum', 'The Pursuit of Happyness'."
"Merak ediyorum, Dram filmi tavsiye et Sen ne dersin?","Derin hikayeler için: 'Babam ve Oğlum', 'The Pursuit of Happyness'."
Acaba Dram filmi tavsiye et Cevabın nedir?,"Derin hikayeler için: 'Babam ve Oğlum', 'The Pursuit of Happyness'."
"Merak ediyorum, Dram filmi tavsiye et Yardımcı olur musun?","Derin hikayeler için: 'Babam ve Oğlum', 'The Pursuit of Happyness'."
Dram filmi tavsiye et Yardımcı olur musun?,"Derin hikayeler için: 'Babam ve Oğlum', 'The Pursuit of Happyness'."
Acaba Dram filmi tavsiye et Sen ne dersin?,"Derin hikayeler için: 'Babam ve Oğlum', 'The Pursuit of Happyness'."
Sence Dram filmi tavsiye et Yardımcı olur musun?,"Derin hikayeler için: 'Babam ve Oğlum', 'The Pursuit of Happyness'."
Sana göre Dram filmi tavsiye et Yardımcı olur musun?,"Derin hikayeler için: 'Babam ve Oğlum', 'The Pursuit of Happyness'."
Dram filmi tavsiye et Cevabın nedir?,"Derin hikayeler için: 'Babam ve Oğlum', 'The Pursuit of Happyness'."
Sence Aksiyon filmi öner Lütfen.,"Adrenalin istiyorsan: 'John Wick', 'Mad Max: Fury Road'."
Sana göre Aksiyon filmi öner Lütfen.,"Adrenalin istiyorsan: 'John Wick', 'Mad Max: Fury Road'."
Sana göre Aksiyon filmi öner Sen ne dersin?,"Adrenalin istiyorsan: 'John Wick', 'Mad Max: Fury Road'."
"Merak ediyorum, Aksiyon filmi öner Sen ne dersin?","Adrenalin istiyorsan: 'John Wick', 'Mad Max: Fury Road'."
Sence Aksiyon filmi öner Tavsiyen nedir?,"Adrenalin istiyorsan: 'John Wick', 'Mad Max: Fury Road'."
Aksiyon filmi öner Cevabın nedir?,"Adrenalin istiyorsan: 'John Wick', 'Mad Max: Fury Road'."
Sence Aksiyon filmi öner Cevabın nedir?,"Adrenalin istiyorsan: 'John Wick', 'Mad Max: Fury Road'."
Acaba Aksiyon filmi öner Ne düşünüyorsun?,"Adrenalin istiyorsan: 'John Wick', 'Mad Max: Fury Road'."
Acaba Aksiyon filmi öner Yardımcı olur musun?,"Adrenalin istiyorsan: 'John Wick', 'Mad Max: Fury Road'."
Aksiyon filmi öner Lütfen.,"Adrenalin istiyorsan: 'John Wick', 'Mad Max: Fury Road'."
Acaba Aksiyon filmi öner Cevabın nedir?,"Adrenalin istiyorsan: 'John Wick', 'Mad Max: Fury Road'."
Sence Aksiyon filmi öner Bir önerin var mı?,"Adrenalin istiyorsan: 'John Wick', 'Mad Max: Fury Road'."
Sana göre Aksiyon filmi öner Ne düşünüyorsun?,"Adrenalin istiyorsan: 'John Wick', 'Mad Max: Fury Road'."
Acaba Aksiyon filmi öner Bir önerin var mı?,"Adrenalin istiyorsan: 'John Wick', 'Mad Max: Fury Road'."
"Merak ediyorum, Aksiyon filmi öner Bir önerin var mı?","Adrenalin istiyorsan: 'John Wick', 'Mad Max: Fury Road'."
Sana göre Aksiyon filmi öner Yardımcı olur musun?,"Adrenalin istiyorsan: 'John Wick', 'Mad Max: Fury Road'."
Acaba En iyi yerli filmler? Bir önerin var mı?,"'Kış Uykusu', 'Babam ve Oğlum', 'G.O.R.A.' gibi filmleri tavsiye ederim."
Acaba En iyi yerli filmler? Ne düşünüyorsun?,"'Kış Uykusu', 'Babam ve Oğlum', 'G.O.R.A.' gibi filmleri tavsiye ederim."
"Merak ediyorum, En iyi yerli filmler? Yardımcı olur musun?","'Kış Uykusu', 'Babam ve Oğlum', 'G.O.R.A.' gibi filmleri tavsiye ederim."
En iyi yerli filmler? Lütfen.,"'Kış Uykusu', 'Babam ve Oğlum', 'G.O.R.A.' gibi filmleri tavsiye ederim."
Sana göre En iyi yerli filmler? Bir önerin var mı?,"'Kış Uykusu', 'Babam ve Oğlum', 'G.O.R.A.' gibi filmleri tavsiye ederim."
Sence En iyi yerli filmler? Yardımcı olur musun?,"'Kış Uykusu', 'Babam ve Oğlum', 'G.O.R.A.' gibi filmleri tavsiye ederim."
"Merak ediyorum, En iyi yerli filmler? Cevabın nedir?","'Kış Uykusu', 'Babam ve Oğlum', 'G.O.R.A.' gibi filmleri tavsiye ederim."
Sence En iyi yerli filmler? Ne düşünüyorsun?,"'Kış Uykusu', 'Babam ve Oğlum', 'G.O.R.A.' gibi filmleri tavsiye ederim."
Sana göre En iyi yerli filmler? Lütfen.,"'Kış Uykusu', 'Babam ve Oğlum', 'G.O.R.A.' gibi filmleri tavsiye ederim."
"Merak ediyorum, En iyi yerli filmler?","'Kış Uykusu', 'Babam ve Oğlum', 'G.O.R.A.' gibi filmleri tavsiye ederim."
Acaba En iyi yerli filmler? Yardımcı olur musun?,"'Kış Uykusu', 'Babam ve Oğlum', 'G.O.R.A.' gibi filmleri tavsiye ederim."
"Merak ediyorum, En iyi yerli filmler? Ne düşünüyorsun?","'Kış Uykusu', 'Babam ve Oğlum', 'G.O.R.A.' gibi filmleri tavsiye ederim."
Sana göre En iyi yerli filmler?,"'Kış Uykusu', 'Babam ve Oğlum', 'G.O.R.A.' gibi filmleri tavsiye ederim."
Sana göre En iyi yerli filmler? Yardımcı olur musun?,"'Kış Uykusu', 'Babam ve Oğlum', 'G.O.R.A.' gibi filmleri tavsiye ederim."
Acaba En iyi yerli filmler?,"'Kış Uykusu', 'Babam ve Oğlum', 'G.O.R.A.' gibi filmleri tavsiye ederim."
Bugün hava nasıl? Cevabın nedir?,Konumunu bilirsem sana hava durumunu söyleyebilirim.
"Merak ediyorum, Bugün hava nasıl? Lütfen.",Konumunu bilirsem sana hava durumunu söyleyebilirim.
"Merak ediyorum, Bugün hava nasıl?",Konumunu bilirsem sana hava durumunu söyleyebilirim.
Bugün hava nasıl? Sen ne dersin?,Konumunu bilirsem sana hava durumunu söyleyebilirim.
Acaba Bugün hava nasıl? Cevabın nedir?,Konumunu bilirsem sana hava durumunu söyleyebilirim.
Bugün hava nasıl? Tavsiyen nedir?,Konumunu bilirsem sana hava durumunu söyleyebilirim.
"Merak ediyorum, Bugün hava nasıl? Ne düşünüyorsun?",Konumunu bilirsem sana hava durumunu söyleyebilirim.
Acaba Bugün hava nasıl?,Konumunu bilirsem sana hava durumunu söyleyebilirim.
Sana göre Bugün hava nasıl? Bir önerin var mı?,Konumunu bilirsem sana hava durumunu söyleyebilirim.
"Merak ediyorum, Saat kaç? Tavsiyen nedir?","Şu anki saate cihazından bakabilirsin, çünkü anlık verim yok."
Sence Saat kaç?,"Şu anki saate cihazından bakabilirsin, çünkü anlık verim yok."
Saat kaç? Sen ne dersin?,"Şu anki saate cihazından bakabilirsin, çünkü anlık verim yok."
"Merak ediyorum, Saat kaç?","Şu anki saate cihazından bakabilirsin, çünkü anlık verim yok."
Sana göre Saat kaç? Sen ne dersin?,"Şu anki saate cihazından bakabilirsin, çünkü anlık verim yok."
"Merak ediyorum, Saat kaç? Yardımcı olur musun?","Şu anki saate cihazından bakabilirsin, çünkü anlık verim yok."
Saat kaç? Lütfen.,"Şu anki saate cihazından bakabilirsin, çünkü anlık verim yok."
Acaba Saat kaç? Bir önerin var mı?,"Şu anki saate cihazından bakabilirsin, çünkü anlık verim yok."
